NAME,FORM
"CHEMBL6395",C11H11NO3
"CHEMBL6444",C18H21ClN2O3
"CHEMBL266800",C18H22N2O3
"CHEMBL269304",C28H32O6
"CHEMBL6448",C21H26Cl2N2O6
"CHEMBL6571",C28H34N2O5S
"CHEMBL268388",C16H12N6S
"CHEMBL269572",C24H27NO5S
"TROGLITAZONE",C24H27NO5S
"CHEMBL414008",C39H59Cl4N9O17
"CHEMBL438993",C43H62N10O19
"WIN-54954",C18H20Cl2N2O3
"CHEMBL6418",C26H42O5
"CHEMBL268412",C22H31N5O5
"CHEMBL6747",C20H24N2
"CHEMBL6455",C19H23N3
"CHEMBL540195",C19H22N2O
"EPIBATIDINE",C11H13ClN2
"CHEMBL6610",C20H27N5O4
"CHEMBL6435",C27H44O5
"CHEMBL6445",C18H20N2
"CHEMBL6519",C22H23N3O4
"CHEMBL265410",C23H24N4O2
"CHEMBL266065",C27H23N5O4
"CHEMBL6551",C17H13ClN4O
"CHEMBL269004",C16H25NO
"CHEMBL6476",C20H20N2O5
"CHEMBL266430",C10H10N2O
"CHEMBL6703",C10H9NO2
"CHEMBL6608",C27H29NO11
"CHEMBL269573",C20H25NO6
"CHEMBL6392",C15H15NO2
"CHEMBL6393",C11H12N2
"CHEMBL6385",C12H14N2O
"CHEMBL269073",C12H14N2O
"CHEMBL6503",C10H11N3
"CHEMBL266957",C20H23NO4
"CHEMBL6641",C21H28N2O3
"CHEMBL268339",C16H15BrN4O2S
"CHEMBL6618",C16H12N6S
"CHEMBL6619",C19H20O2
"DIMETHYLSTILBESTROL",C16H16O2
"CHEMBL6413",C16H10F6O
"CHEMBL6414",C17H17N3O2S
"CHEMBL415106",C17H17ClN4O2S
"CHEMBL404505",C11H10N2O
"CHEMBL6465",C12H7Cl3N6S
"CHEMBL267191",C13H17N3O2
"CHEMBL6489",C10H12ClN3
"CHEMBL6843",C15H14F3NO2
"BICALUTAMIDE",C18H14F4N2O4S
"CHEMBL266659",C23H28N2O3S
"DIAZEPAM",C16H13ClN2O
"CHEMBL268176",C13H16ClN3O
